"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.775	0.7	0.7	0.0625	0.0625	0.225
0.775	0.775	0.7625	0.125	0.2875	0.25
0.4	0.2	0.2875	0.0125	0.0875	0.0875
0.35	0.3	0.3125	0.05	0.0125	0.075
0.325	0.35	0.35	0	0.0125	0.0375
0.275	0.475	0.4	0.0375	0.0625	0.025
0.2	0.225	0.0875	0.025	0.075	0.15
0.325	0.125	0.2375	0.05	0.075	0.025
0.425	0.35	0.375	0.0125	0.125	0.125
0.15	0.1	0.1125	0.0125	0.075	0.075
0.275	0.325	0.225	0.0125	0.125	0.1125
0.4	0.225	0.325	0.05	0.0875	0.1375
0.525	0.55	0.525	0.075	0.075	0.1375
0.25	0.55	0.2875	0.025	0.075	0.0625
0.375	0.7	0.575	0.0375	0.1	0.05
0.175	0.175	0.1875	0.0125	0.075	0.125
0.125	0.25	0.1875	0.025	0.075	0.1
0.225	0.125	0.1625	0.0375	0.1125	0.0875
0.5	0.675	0.5625	0.075	0.125	0.2125
0.275	0.325	0.325	0.0125	0.075	0.0625
0.275	0.375	0.325	0.025	0.125	0.125
0.2	0.275	0.2375	0.0125	0.0625	0.0375
0.275	0.275	0.2625	0.0375	0.0625	0.1
0.1	0.275	0.2	0.075	0.1	0.2125
0.425	0.35	0.375	0.0125	0.075	0.15
0.575	0.4	0.475	0.0125	0.05	0.05
0.2	0.15	0.1875	0.025	0.0625	0.0875
0.25	0.05	0.2375	0.025	0.1125	0.1625
0.15	0.2	0.15	0.0375	0.0125	0.1375
0.05	0.25	0.075	0.025	0.05	0.1125
0	0.325	0.5875	0.125	0.15	0.1375
0.125	0.2	0.1625	0.0125	0.0375	0.025
0.1	0.175	0.15	0.05	0.1375	0.0625
0.975	0	0.7	0.1	0.0125	0.05
0.25	0.075	0.225	0.025	0.075	0.0375
0.025	0.15	0.125	0	0	0
0.225	0	0.1125	0.025	0.025	0.0375
0.4	0.375	0.4	0.0125	0.0375	0.1375
0.1	0.05	0.075	0	0.0125	0.0375
0.225	0.125	0.125	0.05	0.05	0.1
0.15	0.175	0.15	0.025	0.025	0.1125
0.25	0.15	0.15	0.0375	0.0875	0.1125
0.2	0.1	0.0375	0.025	0.05	0.0625
0.625	0.575	0.575	0.05	0.125	0.15
0.55	0.45	0.2875	0.1375	0.0875	0.075
0.225	0.35	0.3375	0	0.0375	0.125
0.4	0.175	0.3625	0.0875	0.0875	0.2
0.5	0.975	0.9875	0.025	0.125	0.1125
0.225	0.2	0.2	0	0.0375	0.0875
0.325	0.2	0.175	0.0375	0.0625	0.1
