"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.444	0.414	0.467	0.626	0.571	0.466
0.664	0.548	0.593	0.803	0.566	0.532
0.17	0.116	0.154	0.59	0.52	0.315
0.3	0.218	0.29	0.733	0.546	0.432
0.282	0.208	0.256	0.682	0.634	0.51
0.306	0.232	0.246	0.825	0.537	0.342
0.292	0.232	0.296	0.63	0.648	0.371
0.17	0.212	0.239	0.696	0.529	0.386
0.186	0.078	0.149	0.726	0.491	0.656
0.246	0.514	0.413	0.768	0.624	0.39
0.294	0.314	0.319	0.761	0.568	0.416
0.698	0.28	0.529	0.785	0.684	0.914
0.248	0.682	0.177	0.704	0.608	0.539
0.494	0.49	0.521	0.611	0.57	0.384
0.276	0.26	0.403	0.667	0.491	0.286
0.422	0.228	0.34	0.661	0.642	0.495
0.76	0.224	0.232	0.67	0.644	0.516
0.214	0.204	0.274	0.796	0.602	0.411
0.268	0.292	0.293	0.781	0.548	0.576
0.228	0.184	0.23	0.719	0.569	0.562
0.506	0.268	0.441	0.757	0.652	0.529
0.352	0.292	0.398	0.67	0.446	0.449
0.508	0.426	0.47	0.783	0.684	0.568
0.226	0.246	0.251	0.728	0.5	0.415
0.282	0.322	0.293	0.724	0.642	0.518
0.314	0.246	0.298	0.807	0.577	0.502
0.77	0.914	0.108	0.27	0.001	0.531
0.33	0.412	0.397	0.679	0.625	0.645
0.236	0.256	0.279	0.634	0.581	0.509
0.326	0.354	0.39	0.705	0.509	0.694
0.05	0.146	0.144	0.742	0.521	0.445
0.484	0.628	0.635	0.807	0.866	0.54
0.5	0.502	0.521	0.661	0.553	0.461
0.026	0.254	0.168	0.827	0.718	0.4
0.408	0.374	0.531	0.733	0.667	0.836
0.26	0.22	0.277	0.751	0.531	0.45
0.314	0.382	0.351	0.641	0.622	0.444
0.35	0.274	0.289	0.696	0.585	0.507
0.406	0.428	0.432	0.617	0.64	0.482
0.268	0.838	0.222	0.755	0.662	0.651
0.478	0.226	0.397	0.744	0.593	0.619
0.15	0.146	0.186	0.704	0.553	0.452
0.982	0.206	0.192	0.735	0.591	0.518
0.406	0.4	0.401	0.828	0.58	0.417
0.294	0.226	0.29	0.751	0.467	0.321
0.276	0.188	0.267	0.829	0.572	0.656
0.234	0.328	0.29	0.862	0.652	0.34
0.242	0.288	0.341	0.781	0.551	0.507
0.238	0.16	0.212	0.695	0.623	0.559
0.046	0.888	0.105	0.734	0.627	0.492
