"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.829397711997885	0.785976638820232	0.825769212281446	0.809977708847246	0.831955735340584	0.838581387539782
0.758528613440517	0.703131768762128	0.766839319741502	0.778989151857395	0.786446527849749	0.800747151975508
0.787062758247933	0.802862765635957	0.800612719489219	0.832629475780181	0.84640126752815	0.841804423301206
0.690530454108296	0.625593196730251	0.707401548426934	0.718006106985349	0.709146816747696	0.725515478645009
0.851166890386653	0.819656963019364	0.859059723979055	0.848118192071641	0.862618015361145	0.874368436631792
0.733075920707972	0.693184378341147	0.720543370662904	0.735670481757356	0.744296554232823	0.74578179675694
0.630177173597018	0.680000408663782	0.688951200713347	0.718578116945343	0.740264218552727	0.757321109636569
0.779799384474338	0.74491443365989	0.808264197261838	0.771386232364305	0.78060917162555	0.82322859433499
0.758974957922526	0.774048174789694	0.799185775939082	0.794312347277525	0.797507472051651	0.794438952546033
0.762285785544096	0.766986793345619	0.773390032726164	0.766379290583855	0.803561263381136	0.831410946013736
0.776419419024898	0.716366499731793	0.767156807892309	0.84729081274744	0.873301765225232	0.785369900005639
0.737647192476019	0.74718541498571	0.77522765848425	0.7764815442777	0.775799247102201	0.784388941421924
0.685542401829124	0.715822166026872	0.697504100543957	0.773174102208258	0.763960487175711	0.741522283992197
0.767539429040826	0.715367474033369	0.786918344147547	0.735673085901525	0.767018989144582	0.806910448383226
0.669903740379511	0.704151986990901	0.703466446254361	0.763876912249498	0.775922572049078	0.793430504658371
0.70485405268622	0.759625450737605	0.760616382603792	0.798490054261778	0.819417902853007	0.831623805421853
0.734406097834282	0.758572018326632	0.755770738209436	0.788337699144582	0.801375308453036	0.823980702886298
0.740115624500662	0.742070550484324	0.779337050471883	0.729080536029752	0.740674673482724	0.777928621819612
0.792210084676483	0.838229091160393	0.84016476930992	0.817386094200832	0.841885150920219	0.863751832429701
0.733256937630617	0.785867068738291	0.783727399492397	0.747687216528933	0.81044391500131	0.806294122152176
0.576703117087784	0.684348019663883	0.64619129568206	0.65076950561188	0.662772541322946	0.664062541775959
0.677159078611385	0.702000940067273	0.743673105506625	0.72490207136451	0.741313229802894	0.745753511548604
0.788380240581894	0.812288580582775	0.808605995587214	0.825986659877174	0.848974508655962	0.858263275114564
0.700291835433887	0.52545056022715	0.715430037762081	0.707853086835162	0.728808961610533	0.741279791284099
0.729554504135359	0.731231205616294	0.762817525111073	0.7540499142811	0.762305502667225	0.78072112486575
0.621302720078583	0.686625767974026	0.709218172709182	0.703790009391824	0.719134644956836	0.722844682993597
0.706942226549768	0.711432801600344	0.746667931301808	0.731837813164523	0.750163145858886	0.764558576702637
0.698339521431788	0.742270204308546	0.72520831192926	0.670556842326927	0.68336688559026	0.72246679375171
0.747302495141989	0.79815433400336	0.794780843195267	0.799904312771966	0.828578229545205	0.83179572930405
0.46134772672747	0.577170647235323	0.546944945285605	0.62300486310092	0.659355083508143	0.671111273134609
0.695586507999409	0.654817866311546	0.677459462921535	0.742553616256504	0.739746809320756	0.750477121985638
0.771947597388058	0.671456805056884	0.757945532654736	0.755837906509737	0.775656043475069	0.784240106122811
0.826612417184651	0.795011892361124	0.82124158269925	0.822111034789712	0.840903630484235	0.852164936269921
0.603362034341901	0.655052080747926	0.653241053746392	0.662244781577926	0.67792117914521	0.681413003543465
0.717128434101882	0.684779369625388	0.731338466845598	0.753440446617026	0.759438622008634	0.773239213535529
0.736558987745653	0.743916352281934	0.730055585056156	0.714207745031251	0.743635686829681	0.763479676233414
0.773021287366929	0.735774100954383	0.759905027525096	0.775371713958863	0.779655257177483	0.803996171583713
0.655739679049706	0.730651553019518	0.760296205046585	0.75594720688504	0.775466186565521	0.805879862136207
0.78244928261178	0.794893817523449	0.813040390928744	0.805109367674009	0.817008917620242	0.833662035487053
0.659588974380342	0.750414290508915	0.684164894037246	0.75659841119109	0.745950281338249	0.746390794092415
0.688615617074643	0.699900699332005	0.734537470660209	0.703194889981341	0.715761854631141	0.740046275994578
0.657461881514877	0.74838633511414	0.734785481227456	0.75809865957593	0.760802037186965	0.75293500426347
0.702559915622624	0.769426299579535	0.779359116155016	0.765352316411814	0.780188763062736	0.777294678128667
0.783126758871887	0.814352483425343	0.812298961035002	0.788686077303765	0.811270499966076	0.817170423862367
0.601803448773131	0.684790706765837	0.479096804776672	0.820150442340508	0.773685239035998	0.764185105462271
0.766944283454836	0.66745352735045	0.742123850998535	0.7396366635428	0.761503877895017	0.758114289061954
0.818400560674367	0.765722858924229	0.81730329962018	0.857234873276933	0.865927570063073	0.865583361577703
0.710724458290879	0.695460953879396	0.715058613375993	0.735557761257802	0.738302480451241	0.746688013065966
0.78693301911898	0.822305182527593	0.826181615643245	0.789009149891165	0.80898878437377	0.819220501205587
0.762533296643055	0.734001244997725	0.788899044727586	0.799451550788538	0.814633665717384	0.807479286581739
