"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.222	0.166	0.231	0.643	0.605	0.506
0.832	0.6	0.809	0.758	0.703	0.505
0.13	0.154	0.155	0.635	0.565	0.382
0.362	0.186	0.346	0.862	0.467	0.518
0.232	0.16	0.21	0.717	0.62	0.49
0.336	0.242	0.313	0.729	0.571	0.432
0.22	0.19	0.22	0.629	0.571	0.4
0.222	0.266	0.327	0.759	0.719	0.408
0.25	0.208	0.279	0.806	0.706	0.806
0.168	0.252	0.256	0.768	0.606	0.363
0.554	0.466	0.272	0.741	0.623	0.986
0.722	0.23	0.407	0.86	0.616	0.715
0.066	0.498	0.114	0.804	0.643	0.416
0.722	0.236	0.442	0.652	0.655	0.428
0.312	0.172	0.178	0.635	0.461	0.277
0.128	0.224	0.288	0.693	0.689	0.592
0.316	0.42	0.447	0.671	0.621	0.521
0.172	0.188	0.229	0.745	0.626	0.531
0.282	0.298	0.301	0.848	0.598	0.45
0.17	0.252	0.29	0.749	0.541	0.601
0.462	0.478	0.705	0.805	0.627	0.681
0.398	0.358	0.492	0.727	0.577	0.504
0.478	0.488	0.498	0.793	0.734	0.638
0.396	0.002	0.821	0.624	0.556	0.537
0.326	0.374	0.359	0.715	0.616	0.366
0.04	0.352	0.292	0.719	0.648	0.42
0.23	0.142	0.205	0.645	0.518	0.435
0.302	0.432	0.517	0.757	0.764	0.61
0.242	0.246	0.308	0.675	0.563	0.481
0.268	0.306	0.339	0.75	0.554	0.504
0.216	0.37	0.332	0.778	0.581	0.524
0.356	0.422	0.56	0.761	0.584	0.59
0.388	0.3	0.397	0.721	0.62	0.49
0.162	0.366	0.264	0.794	0.68	0.673
0.37	0.282	0.549	0.766	0.63	0.577
0.41	0.296	0.425	0.786	0.558	0.488
0.244	0.214	0.27	0.679	0.594	0.457
0.042	0.22	0.181	0.702	0.559	0.485
0.222	0.3	0.194	0.671	0.573	0.419
0.242	0.124	0.251	0.866	0.563	0.417
0.27	0.414	0.372	0.708	0.638	0.511
0.17	0.216	0.233	0.717	0.671	0.605
0.164	0.294	0.312	0.737	0.676	0.755
0.36	0.402	0.433	0.849	0.569	0.426
0.042	0.176	0.001	0.665	0.413	0.246
0.268	0.242	0.311	0.783	0.622	0.566
0.19	0.214	0.281	0.727	0.493	0.396
0.322	0.38	0.42	0.838	0.626	0.585
0.28	0.172	0.281	0.714	0.549	0.5
0.568	0.372	0.562	0.693	0.456	0.317
