"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.204	0.052	0.13	0.838	0.169	0.225
0.37	0.258	0.271	0.671	0.644	0.4
0	0.142	0.001	0.58	0.001	0.379
0.116	0.372	0.085	0.593	0.531	0.413
0.19	0.316	0.202	0.858	0.271	0.284
0.198	0.132	0.214	0.957	0.381	0.789
0.248	0.102	0.221	0.633	0.48	0.259
0.266	0.206	0.278	0.689	0.481	0.576
0.274	0.228	0.285	0.744	0.466	0.366
0.098	0.144	0.14	0.611	0.133	0.162
0	0.196	0.113	0.569	0.992	0
0.234	0.49	0.158	0.622	0.363	0.393
0.522	0.002	0.001	0.713	0.986	0.215
0.27	0.544	0.135	0.605	0.554	0.352
0.374	0.002	0.963	0.497	0.318	0.329
0.242	0.204	0.456	0.649	0.58	0.627
0.122	0.766	0.143	0.63	0.56	0.483
0.438	0.256	0.587	0.984	0.001	0.001
0.906	0.012	0.16	0.757	0.54	0.3
0.32	0.206	0.342	0.707	0.42	0.372
0.252	0.002	0.275	0.692	0.427	0.323
0.116	0.006	0.103	0.646	0.296	0.671
0.216	0.31	0.311	0.749	0.595	0.44
0.002	0.242	0.001	0.557	0.001	0.304
0.136	0.188	0.181	0.66	0.566	0.461
0.268	0.484	0.987	0.716	0.409	0.341
0.002	0.482	0.769	0.677	0.529	0.296
0	0.002	0.174	0.501	0.629	0.552
0.182	0.158	0.208	0.793	0.428	0.326
0.238	0.002	0.194	0.601	0.644	0.305
0.3	0.188	0.248	0.585	0.523	0.313
0.1	0.084	0.149	0.667	0.509	0.412
0.288	0.262	0.323	0.684	0.592	0.818
0.124	0.104	0.174	0.765	0.403	0.303
0.024	0.104	0.083	0.691	0.4	0.333
0.142	0.214	0.299	0.61	0.546	0.435
0.412	0.52	0.029	0.529	0.604	0.001
0.536	0.824	0.873	0.625	0.545	0.457
0.336	0.346	0.438	0.682	0.458	0.41
0.194	0.316	0.46	0.693	0.445	0.361
0.098	0.202	0.17	0.713	0.583	0.441
0.092	0.164	0.241	0.685	0.581	0.516
0.196	0	0.211	0.534	0.421	0.267
0.212	0.282	0.269	0.667	0.571	0.36
0.174	0.434	0.192	0.843	0.73	0.293
0.002	0.118	0.001	0.663	0.537	0.501
0.416	0.102	0.053	0.703	0.706	0.253
0.094	0.118	0.093	0.602	0.561	0.321
0.22	0.27	0.225	0.699	0.5	0.365
0.002	0.15	0.001	0.655	0.001	0.41
