"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.44	0.38	0.265	0.935	0.865	0.785
0.86	0.94	0.86	0.955	0.935	0.825
0.76	0.4	0.515	0.995	0.86	0.94
0.37	0.28	0.22	0.915	0.855	0.745
0.68	0.6	0.635	0.97	0.93	0.84
0.63	0.69	0.63	0.915	0.885	0.775
0.82	0.44	0.61	0.95	0.895	0.79
0.47	0.58	0.525	0.965	0.86	0.88
0.76	0.77	0.79	0.965	0.905	0.86
0.62	0.45	0.535	0.98	0.85	0.835
0.46	0.6	0.495	0.95	0.825	0.685
0.66	0.46	0.41	0.965	0.88	0.79
0.7	0.65	0.625	0.995	0.91	0.79
0.65	0.42	0.51	0.94	0.845	0.805
0.44	0.69	0.5	0.98	0.935	0.9
0.74	0.75	0.74	0.96	0.885	0.955
0.66	0.6	0.545	0.975	0.94	0.875
0.8	0.48	0.705	0.985	0.905	0.855
0.54	0.59	0.54	0.995	0.905	0.865
0.84	0.8	0.795	0.975	0.86	0.87
0.71	0.56	0.625	0.965	0.86	0.84
0.72	0.58	0.64	0.965	0.865	0.935
0.68	0.7	0.71	0.955	0.89	0.865
0.86	0.99	0.995	0.97	0.93	0.96
0.43	0.55	0.495	0.93	0.9	0.755
0.62	0.55	0.53	0.98	0.925	0.765
0.56	0.37	0.47	0.98	0.895	0.775
0.54	0.6	0.555	0.96	0.925	0.885
0.73	0.72	0.695	0.955	0.91	0.915
0.5	0.63	0.45	0.915	0.86	0.765
0.87	0.44	0.765	0.99	0.875	0.9
0.79	0.55	0.635	0.98	0.9	0.835
0.65	0.53	0.545	0.965	0.9	0.92
0.51	0.35	0.415	0.985	0.79	0.755
0.52	0.42	0.46	0.975	0.925	0.69
0.68	0.88	0.675	0.97	0.895	0.81
0.49	0.77	0.605	0.99	0.725	0.68
0.63	0.68	0.7	0.965	0.95	0.85
0.77	0.56	0.7	0.945	0.87	0.725
0.75	0.54	0.665	0.955	0.9	0.755
0.52	0.44	0.465	0.96	0.93	0.79
0.65	0.47	0.525	0.965	0.85	0.855
0.7	0.79	0.75	0.965	0.92	0.86
0.73	0.79	0.785	0.97	0.965	0.9
0.52	0.49	0.49	0.885	0.855	0.93
0.41	0.49	0.46	0.935	0.93	0.85
0.41	0.31	0.28	0.95	0.86	0.79
0.51	0.47	0.545	0.975	0.915	0.785
0.78	0.63	0.77	0.98	0.92	0.83
0.55	0.34	0.605	0.97	0.9	0.805
