"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.325	0	0.0025	0.81	0.76	0.6
0.505	0.015	0.2175	0.845	0.7	0.0025
0.005	0.005	0.0025	0.8	0.515	0.5375
0.315	0	0.3475	0.8	0.68	0.545
0.58	0	0.0025	0.8925	0.0025	0.7975
0.36	0.02	0.36	0.69	0.5975	0.49
0.465	0.005	0.2075	0.78	0.83	0.0025
0.385	0	0.2825	0.815	0.7725	0.445
0.355	0.445	0.4	0.8075	0.1375	0.6375
0.255	0.005	0.265	0.4475	0.725	0.78
0.005	0.05	0.0025	0.78	0.5775	0.51
0.345	0.005	0.19	0.86	0.755	0.535
0.475	0.005	0.0025	0.79	0.6125	0.5975
0.465	0.005	0.12	0.725	0.63	0.4925
0.005	0	0.0025	0.815	0.0025	0.585
0.395	0.005	0.25	0.87	0.5225	0.585
0.295	0.005	0.1675	0.84	0.67	0.4625
0.35	0.005	0.0025	0.825	0.695	0.62
0.265	0.035	0.0475	0.82	0.8	0.0425
0.6	0	0.4375	0.765	0.845	0.24
0.295	0.005	0.18	0.8675	0.7775	0.84
0.235	0.005	0.08	0.8625	0.9075	0.8725
0.405	0.005	0.4175	0.83	0.6875	0.6375
0.99	0.005	0.9775	0.7925	0.9275	0.3475
0.26	0.005	0.1625	0.64	0.7375	0.3225
0.425	0	0.4825	0.8575	0.7675	0.7625
0.395	0.005	0.0025	0.88	0.0025	0.725
0.24	0.255	0.1725	0.855	0.7975	0.4625
0.3	0	0.0025	0.51	0.395	0.3975
0.32	0.005	0.1225	0.6625	0.745	0.4925
0.495	0	0.03	0.7775	0.655	0.7125
0.315	0	0.2075	0.82	0.7	0.6175
0.475	0.005	0.3525	0.6675	0.6375	0.6425
0.19	0	0.125	0.8125	0.8	0.7825
0.155	0	0.0975	0.8025	0.795	0.565
0.465	0	0.215	0.3925	0.0025	0.4275
0.27	0.005	0.3175	0.815	0.695	0.0025
0.425	0.01	0.2125	0.7825	0.555	0.7075
0.65	0.01	0.4475	0.37	0.715	0.4375
0.49	0	0.0225	0.8175	0.005	0.05
0.38	0.005	0.145	0.82	0.5975	0.4175
0.075	0.005	0.14	0.75	0.0025	0.2575
0.42	0	0.115	0.7875	0.7725	0.6075
0.54	0	0.335	0.855	0.5725	0.0025
0.09	0	0.5625	0.865	0.6925	0.43
0.255	0.005	0.105	0.47	0.5025	0.5175
0.18	0.005	0.05	0.88	0.7425	0.705
0.245	0.05	0.075	0.6775	0.475	0.7375
0.64	0	0.325	0.845	0.75	0
0.005	0.13	0.0025	0.65	0.73	0.525
