"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.23125	0	0	0.809375	0.74375	0.578125
0.4375	0.01875	0.16875	0.828125	0.671875	0
0	0.00625	0	0.790625	0.48125	0.503125
0.23125	0	0.31875	0.78125	0.65625	0.51875
0.49375	0	0	0.871875	0	0.7625
0.2875	0.025	0.346875	0.678125	0.58125	0.46875
0.375	0.00625	0.171875	0.771875	0.815625	0
0.29375	0	0.2375	0.79375	0.75625	0.403125
0.275	0.4125	0.346875	0.79375	0.090625	0.60625
0.18125	0.00625	0.2375	0.434375	0.709375	0.7625
0	0.05625	0	0.75625	0.546875	0.478125
0.2625	0.00625	0.14375	0.85	0.725	0.48125
0.3875	0.00625	0	0.778125	0.584375	0.571875
0.3875	0.00625	0.08125	0.6875	0.590625	0.4375
0	0	0	0.809375	0	0.55625
0.30625	0.00625	0.209375	0.846875	0.4875	0.53125
0.20625	0.00625	0.140625	0.828125	0.6375	0.41875
0.2625	0.00625	0	0.80625	0.66875	0.575
0.18125	0.04375	0.025	0.809375	0.7875	0.01875
0.55625	0	0.396875	0.75	0.821875	0.20625
0.21875	0.00625	0.153125	0.8375	0.740625	0.81875
0.15625	0.00625	0.05625	0.85625	0.9	0.859375
0.3375	0.00625	0.38125	0.81875	0.66875	0.609375
0.9875	0.00625	0.971875	0.771875	0.9125	0.3125
0.175	0	0.11875	0.625	0.715625	0.28125
0.35625	0	0.440625	0.846875	0.746875	0.75
0.31875	0.00625	0	0.871875	0	0.696875
0.1625	0.25	0.134375	0.859375	0.796875	0.43125
0.2125	0	0	0.48125	0.35	0.35
0.25625	0.00625	0.096875	0.640625	0.709375	0.45
0.4375	0	0.0125	0.75625	0.628125	0.690625
0.23125	0	0.159375	0.796875	0.678125	0.58125
0.40625	0.00625	0.3125	0.64375	0.60625	0.615625
0.0875	0	0.084375	0.80625	0.7875	0.775
0.075	0	0.059375	0.79375	0.775	0.528125
0.3875	0	0.16875	0.353125	0	0.3875
0.19375	0.00625	0.278125	0.80625	0.678125	0
0.3375	0.0125	0.165625	0.771875	0.53125	0.684375
0.61875	0.0125	0.425	0.359375	0.703125	0.403125
0.40625	0	0.00625	0.8	0	0.025
0.325	0.00625	0.1125	0.81875	0.59375	0.4125
0.0375	0.00625	0.103125	0.728125	0	0.2125
0.33125	0	0.078125	0.79375	0.765625	0.584375
0.45625	0	0.2875	0.846875	0.5375	0
0.05625	0	0.53125	0.85	0.675	0.39375
0.1625	0	0.06875	0.446875	0.484375	0.5
0.10625	0.00625	0.01875	0.88125	0.75	0.7
0.15625	0.05	0.05	0.64375	0.44375	0.7125
0.58125	0	0.296875	0.83125	0.734375	0
0	0.13125	0	0.628125	0.7125	0.5
